Author Name,Comment,Like Count
Lex Fridman,timestamps . Please check sponsors support podcast . 0:00 - Introduction : 0:28 - Jiu-jitsu competition 17:51 - AI open source movement 30:22 - Next AI model release 42:37 - Future AI Meta 1:03:15 - Bots 1:18:42 - Censorship 1:33:23 - Meta 's new social network 1:40:10 - Elon Musk 1:44:15 - Layoffs firing 1:51:45 - Hiring 1:57:37 - Meta Quest 3 2:04:34 - Apple Vision Pro 2:10:50 - AI existential risk 2:17:13 - Power 2:20:44 - AGI timeline 2:28:07 - Murph challenge 2:33:22 - Embodied AGI 2:36:29 - Faith Please support sponsors : - Numerai : https : //numer.ai/lex - Shopify : https : //shopify.com/lex get $ 1 per month trial - Better Help : https : //betterhelp.com/lex get 10 %,626
Michael Wojcicki,"corp wants shutdown free speech GOV calls wanting thing , GOV really shape corps action ?",0
Allen Han,"2000 # C main language . 2003 Scala Groovy , 2009 Go ( Google ) , 2014 Swift . Apple developed Swift replace C , C++ , Objective-C. 's almost impossible developer new language , cause constantly changing . Mark Zuckerberg stole FB idea , people could even skills steal , thats recruited . Even people recruited gave idea , know find another person make Zuckerberg . knew languges time . Mark 's known knowledge computer languages . `` Visual Basic , VBscript , C , C++ , Java , Javascript , ASP '' . 's fraction knows . tell Mark Eistein coding , time . never needed classes learn . read book understood better professors . 's looks like robot .",0
Charles Timmy Phillips jr,m phone Timothy Allen cathy teeth,0
Alex Marcus,"Lex , relax outfit . going funeral ?",0
Sabrina,"idk rest internet people n't dislike guy , perhaps 's 's achieved many young men probably aspire maybe n't know enough . whole internet trolls hates eh one day 'd like like less .",0
VISION 2222 Podcast,great discussion makes interesting futuristic conversation AI . Vision 2222 podcast started would love Lex get insights .,0
Win Zaw,smart . n't security much lacking . Something always wrong facebook .,0
Flatulent Toad,astonished nobody 's broken Zuckerbergs scrawny neck yet,0
Tate,"want Instagram update , wish would update app software .",0
Nonieto omila,0:20,1
Nichdom,50:00:00,0
Jordyn Lane,"Much love mark , many people found love work",0
